Incident ID,summary,label
INC000000812320,not sure message part not authorization enter records new system successfully log system error message enter issue message part not authorization not,User Account
INC000000813651,unable record unable record due attached error asist user priority user issue record issue,User Account
INC000000814431,  issue raise not able access   sheet error know done not start transaction trip error not authorized,User Account
INC000000815676,reset reset password extend expiry end account production systems know create approve,User Account
INC000000815730,access provide access systems need access perform transactions index monitor running connection stats hardware configuration displays system threads ,User Account
INC000000815735,assignment clean current status next steps test records loaded production issue found resolved completes load files load termination template termination date added assignment details host assignment records purged production analysis purged records passed comp performance forms analysis completed tonight details records changing two records validated review final results loads production kate,Job and/or Batch Related
INC000000817463,provide,User Account
INC000000818312,create ticket create,Transport and Change
INC000000819135,able import transports production using   i error message not authorized provide necessary authorizations earliest,User Account
INC000000821349,raise requesting access production server know case details needed end raise consider high live not,User Account
INC000000823616,access issue access issue able login completed password sync well able login select tab system asking user password giving error client name password not correct log opened several tickets issue resolving closed,User Account
INC000000827477,user locked unlocked still issue sync password close browsers open sessions sync password logging using portal password successfully syncing password launch client portal username portal password login know able log jagadish chakravarthy user locked portal id locked production unlock,User Account
INC000000828302,unlock basisadm administrator user unlock basisadm administrator user kiran kumar kalam nttdata com,User Account
INC000000829184,unable login called saying not able unable login since checked taking remote user login click options reloads nothing happens reset browser deleted browsing history cache cookies also checked compatability view setting still issue trying access attached screenshot reference kgergova needful,User Account
INC000000831747,page not accessible issue high access denied error error trying access page see attached snapshot exact detail,Technical Exceptions
INC000000837419,unable logon unable logon error attempts attached screenshot reference,User Account
INC000000838453,log pad account unlock called saying log pad unlock account,User Account
INC000000844415,trace analysis per trace analysis per user id not authorization execute mentioned reports production system,User Account
INC000000845359,unable view oct payslip internal server roll storage space lengt issue high unable view payslip oct showed blank payslip checked earlier,Interface Error
INC000000846300,unable view payslip screenshot,Interface Error
INC000000846302,unable change flexible components link page grayed screen,Missing User Knowledge Issue
INC000000846306,unable generate slips issue high unable generate slips earlier months neither new navigator old need latest months payslips pearl,Missing User Knowledge Issue
INC000000849457,unable view payslips issue high unable view payslips showing blocked,Technical Exceptions
INC000000851068,not able view various tabs payroll medical riembersement catagory issue high not able view various tabs payroll medical riembersement catagory find screenshot attached current view divyasree erilingampalli,Missing User Knowledge Issue
INC000000851120,unable slip payroll report issue medium unable slip clicking selecting radio button clicking display results clicking continue not showing slip instead redirects message page click quit button also never quits,Missing User Knowledge Issue
INC000000852730,not able raise  issue high not able raise  cannot see option create task,Missing User Knowledge Issue
INC000000854443,unable create medical bills details unable create medical bill   record portal needful,Missing User Knowledge Issue
INC000000854457,not able submit medical bills using new submitting medical bills using new submitting bills created rows row attachment attaching bills giving size exceeded not uploaded error messages giving merge documents single pdf also giving error messages find attached screen shot bills iam uploading,Missing User Knowledge Issue
INC000000857135,access user access need created similar access,User Account
INC000000858184,access access navigator used access not accessible verify provide requried access details,Availability Issue
INC000000859818,access raise remedy update done move forward access approve access complete updates set  see issue access update rate exact access requested members reviewing correct errors interface know issue requests new member waiting access access would require role access members requests inquiries issues write call solutions line send list pending users systems need access second reminder own facing issues infinium requests inquiries issues write call solutions line front access role access systems experiencing delays access facing major challenges timely approvals access systems due delays closing queries access new members access updating details raised remedy response approved not approved support approved requests inquiries issues write call solutions line provide approval grant access role requests inquiries issues write call solutions line requests inquiries issues write call solutions line need hav approval order grant access role approval rest taken care ticket summary,User Account
INC000000867836,not able system issue high trying apply sick leave system not allowing replace leave approver,Missing User Knowledge Issue
INC000000868063,not able open issue medium trying login error putting webpage not available complete task updating benefits,Availability Issue
INC000000878062,provide access id provide access id repo know questions approve,User Account
INC000000878 0,provide access repo server provide access id repo repository available server know questions,User Account
INC000000878988,unable claim medical reimbruisement issue high unable claim medical reimbruisement search option know raise,Missing User Knowledge Issue
INC000000895 3,not able fetch tables not able fetch meta thru using connection,Interface Error
INC000000921133,tax declaration button not working issue high button declaration form not working need take,Technical Exceptions
INC000000936764, s blocked need unlock enter  s issue high error pers blocked user,Technical Exceptions
INC000000949674,unable see payslip aug issue low transferred aug not able see settlement aug not able see paylsips understanding full final settlement leaves taken account calculation provide payslip leave calculations,Technical Exceptions
INC000000958391,route handles items issue medium trying attach something using code using object button receiving attached error message,Technical Exceptions
INC000000971 4,route support issue high issue reversing documents journal templates completed reversal dates reason added entry entry parked posted appears reason code dropped parking posting notified attached includes entries,Technical Exceptions
INC000000974163,notification raise know ticket notification find attached mail batch job notification newly developed schedule program run daily basis towards end day approve notification don notify users individually tracker status updated imported notification checking find confirmation moved notification find attached approvals test doc attached appended move updated notification moved not notification move attached test doc notification ed1k908855 imported requested ensure attach testing document tracker notification move append test doc notification released ed1k908855 notification done looks good since not need tcode don see security tasks release transport put tracker migration notification let ready testing business side test notification good message notification details excel attachment working fine ignore details repeated body ready testing complete ready testing provide test unit testing notification issues body attach excel file notification complete facing challenge formatting columns specified body notification assume completed changes proposed required reference sub con notification report went changes requested let list subcontractors boarded replicated date restriction length chars accommodate max details record anything not possible suggest delay template looking know want make changes looking day covered attributes discussed na vmg admin sap nttdata com grmsupport nttdata com added support back subcon successfully date list subcontractors boarded replicated date line know issues would prevent feeding subcontractor notification report early next back still required report dev awaiting input requested completing inputs earliest development report done needs inputs automated email body know content body moved pull accordingly spare minutes finalize requirement details web toll free toll free able connect helping define develop report questions reach original defect led reporting need procurement process definition expecting automated mail back reqestor onboarding process completed became clear not automated mail notification puts process risk understanding mail notification well ask need report shows users least subcons onboarded likely frequently depending replication occurs need determine trigger report run happy test report make available anytime day reporting training know vice president related item subcontractor notification report alert new subcontractor flowed successfully system would review testing delegated member know also remiss setting analysis subcon reporting session apologies got bit swamped end close support various ad hoc needs includes business owners reporting requirement falling within scope working past several months map reporting requirements existing reporting solution perform new development needed reporting areas brand new based functionality consolidation reports extensions reporting capability within business processes revenue recognition core finance review tab called filter based owner column process column back possible reviewed list questions confirmation treated review since testing perspective basic step script set entries also marked testing entries across important note reports scope not dependencies proposed able move reports production earlier schedule order value reports quickly possible strong support marked reports candidates column tab start work business owners next business acceptance early release moved production via change management process early release reports not need tested mark complete reference business acceptance official tracking review reply back possible much director intelligence,Job and/or Batch Related
